,tn_ved,perod,1_country,1_country_sum,1_country_weight,2_country,2_country_sum,2_country_weight,3_country,3_country_sum,3_country_weight,4_country,4_country_sum,4_country_weight,5_country,5_country_sum,5_country_weight
0,01-Живые животные,2015,CN-КИТАЙ,1272701.11,0.74,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",193720.68,0.11,AZ-АЗЕРБАЙДЖАН,121726.37,0.07,HK-ГОНКОНГ,65000.0,0.04,PL-ПОЛЬША,23900.81,0.01
1,01-Живые животные,2016,CN-КИТАЙ,1845262.18,0.88,JP-ЯПОНИЯ,104600.0,0.05,HU-ВЕНГРИЯ,93208.61,0.04,DE-ГЕРМАНИЯ,20832.34,0.01,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",10000.0,0.0
2,01-Живые животные,2017,CN-КИТАЙ,1645852.6,0.97,HU-ВЕНГРИЯ,21701.2,0.01,AE-ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ,7000.0,0.0,PL-ПОЛЬША,5466.0,0.0,LV-ЛАТВИЯ,5039.7,0.0
3,01-Живые животные,2018,CN-КИТАЙ,296936.66,0.51,TJ-ТАДЖИКИСТАН,136274.89,0.24,GE-ГРУЗИЯ,43365.83,0.08,MN-МОНГОЛИЯ,18686.11,0.03,BY-БЕЛАРУСЬ,16853.58,0.03
4,01-Живые животные,2019,CN-КИТАЙ,508617.0,0.54,UZ-УЗБЕКИСТАН,97924.67,0.1,KP-КОРЕЯ НАРОДНО-ДЕМОКРАТИЧ. РЕСПУБЛИКА,75589.97,0.08,FR-ФРАНЦИЯ,40371.2,0.04,NL-НИДЕРЛАНДЫ,38878.61,0.04
5,01-Живые животные,2020,DE-ГЕРМАНИЯ,76459.78,0.15,LV-ЛАТВИЯ,69327.06,0.13,HU-ВЕНГРИЯ,57915.78,0.11,"KR-КОРЕЯ, РЕСПУБЛИКА",42700.58,0.08,QA-КАТАР,33000.0,0.06
6,01-Живые животные,2021,AZ-АЗЕРБАЙДЖАН,726781.11,0.39,NL-НИДЕРЛАНДЫ,278116.68,0.15,DE-ГЕРМАНИЯ,164190.14,0.09,UZ-УЗБЕКИСТАН,75700.0,0.04,HU-ВЕНГРИЯ,70762.72,0.04
7,02-Мясо и пищевые мясные субпродукты,2015,HK-ГОНКОНГ,3995218.36,0.51,VN-ВЬЕТНАМ,2010466.33,0.25,BY-БЕЛАРУСЬ,911757.62,0.12,KG-КЫРГЫЗСТАН,312195.25,0.04,UA-УКРАИНА,295157.38,0.04
8,02-Мясо и пищевые мясные субпродукты,2016,HK-ГОНКОНГ,11243183.46,0.48,VN-ВЬЕТНАМ,8297337.14,0.35,BY-БЕЛАРУСЬ,1501763.14,0.06,KZ-КАЗАХСТАН,473492.89,0.02,UA-УКРАИНА,434011.59,0.02
9,02-Мясо и пищевые мясные субпродукты,2017,VN-ВЬЕТНАМ,15349533.4,0.34,HK-ГОНКОНГ,15321433.4,0.34,KZ-КАЗАХСТАН,5174352.3,0.12,UA-УКРАИНА,4754976.7,0.11,BY-БЕЛАРУСЬ,1416084.2,0.03
10,02-Мясо и пищевые мясные субпродукты,2018,VN-ВЬЕТНАМ,25384860.02,0.44,HK-ГОНКОНГ,10526392.85,0.18,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,8388009.14,0.15,KZ-КАЗАХСТАН,5780484.1,0.1,KG-КЫРГЫЗСТАН,2227552.84,0.04
11,02-Мясо и пищевые мясные субпродукты,2019,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,16409483.0,0.23,KZ-КАЗАХСТАН,10997466.05,0.15,CN-КИТАЙ,10868310.72,0.15,NNN-НЕИЗВЕСТНАЯ СТРАНА,8028734.05,0.11,HK-ГОНКОНГ,7558096.63,0.11
12,02-Мясо и пищевые мясные субпродукты,2020,KZ-КАЗАХСТАН,26258195.91,0.32,HK-ГОНКОНГ,13442119.41,0.16,CN-КИТАЙ,12922661.99,0.16,NNN-НЕИЗВЕСТНАЯ СТРАНА,11318455.67,0.14,BY-БЕЛАРУСЬ,4762403.14,0.06
13,02-Мясо и пищевые мясные субпродукты,2021,KZ-КАЗАХСТАН,32030386.93,0.46,CN-КИТАЙ,11366238.81,0.16,UZ-УЗБЕКИСТАН,6669565.79,0.09,BY-БЕЛАРУСЬ,5584782.85,0.08,AM-АРМЕНИЯ,4822256.65,0.07
14,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2015,BY-БЕЛАРУСЬ,13459731.86,0.7,UA-УКРАИНА,2775874.98,0.14,KZ-КАЗАХСТАН,612141.41,0.03,JP-ЯПОНИЯ,566736.25,0.03,LT-ЛИТВА,376272.3,0.02
15,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2016,BY-БЕЛАРУСЬ,19485586.98,0.43,UA-УКРАИНА,9457435.91,0.21,NL-НИДЕРЛАНДЫ,8100791.01,0.18,KZ-КАЗАХСТАН,4771365.69,0.11,US-СОЕДИНЕННЫЕ ШТАТЫ,497790.27,0.01
16,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2017,BY-БЕЛАРУСЬ,22093378.6,0.46,UA-УКРАИНА,13046011.4,0.27,NL-НИДЕРЛАНДЫ,3492917.7,0.07,KZ-КАЗАХСТАН,3066067.9,0.06,NO-НОРВЕГИЯ,1971252.8,0.04
17,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2018,BY-БЕЛАРУСЬ,31582995.81,0.59,UA-УКРАИНА,12239745.14,0.23,KZ-КАЗАХСТАН,5303946.53,0.1,CN-КИТАЙ,1444376.24,0.03,US-СОЕДИНЕННЫЕ ШТАТЫ,750829.51,0.01
18,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2019,BY-БЕЛАРУСЬ,30336526.32,0.55,UA-УКРАИНА,10999971.86,0.2,KZ-КАЗАХСТАН,4987517.3,0.09,"KR-КОРЕЯ, РЕСПУБЛИКА",2698857.38,0.05,NL-НИДЕРЛАНДЫ,1352723.28,0.02
19,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2020,BY-БЕЛАРУСЬ,33587064.46,0.62,UA-УКРАИНА,10590022.6,0.2,KZ-КАЗАХСТАН,4432326.55,0.08,NL-НИДЕРЛАНДЫ,1736507.91,0.03,US-СОЕДИНЕННЫЕ ШТАТЫ,831258.17,0.02
20,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2021,BY-БЕЛАРУСЬ,38109042.8,0.62,UA-УКРАИНА,10527794.67,0.17,KZ-КАЗАХСТАН,7122143.4,0.12,AM-АРМЕНИЯ,1343599.72,0.02,US-СОЕДИНЕННЫЕ ШТАТЫ,1026107.68,0.02
21,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2015,KZ-КАЗАХСТАН,5568955.19,0.3,AZ-АЗЕРБАЙДЖАН,2863531.37,0.15,BY-БЕЛАРУСЬ,2634090.03,0.14,KG-КЫРГЫЗСТАН,2051001.8,0.11,GE-ГРУЗИЯ,1257988.79,0.07
22,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2016,KZ-КАЗАХСТАН,6372033.36,0.33,BY-БЕЛАРУСЬ,3356333.77,0.17,AZ-АЗЕРБАЙДЖАН,1973722.38,0.1,KG-КЫРГЫЗСТАН,1755573.11,0.09,TM-ТУРКМЕНИСТАН,1394652.57,0.07
23,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2017,KZ-КАЗАХСТАН,11331414.3,0.41,BY-БЕЛАРУСЬ,4033949.9,0.15,KG-КЫРГЫЗСТАН,3563440.8,0.13,AZ-АЗЕРБАЙДЖАН,1929354.7,0.07,GE-ГРУЗИЯ,1447679.3,0.05
24,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2018,KZ-КАЗАХСТАН,8563354.97,0.34,BY-БЕЛАРУСЬ,4849532.76,0.19,KG-КЫРГЫЗСТАН,3031759.98,0.12,AZ-АЗЕРБАЙДЖАН,1868479.04,0.08,GE-ГРУЗИЯ,1746259.82,0.07
25,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2019,KZ-КАЗАХСТАН,9253546.02,0.42,BY-БЕЛАРУСЬ,2662846.36,0.12,KG-КЫРГЫЗСТАН,2613135.27,0.12,AZ-АЗЕРБАЙДЖАН,1605380.76,0.07,UA-УКРАИНА,1393921.1,0.06
26,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2020,KZ-КАЗАХСТАН,11355267.89,0.4,BY-БЕЛАРУСЬ,5256717.26,0.19,KG-КЫРГЫЗСТАН,2924652.41,0.1,AZ-АЗЕРБАЙДЖАН,1786447.86,0.06,UA-УКРАИНА,1681522.22,0.06
27,"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",2021,KZ-КАЗАХСТАН,16894056.18,0.4,BY-БЕЛАРУСЬ,9109248.89,0.21,KG-КЫРГЫЗСТАН,4019275.18,0.09,AZ-АЗЕРБАЙДЖАН,2350090.58,0.06,GE-ГРУЗИЯ,1921315.31,0.05
28,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2015,HK-ГОНКОНГ,10588851.34,0.76,"KR-КОРЕЯ, РЕСПУБЛИКА",2514633.0,0.18,VN-ВЬЕТНАМ,279586.83,0.02,KZ-КАЗАХСТАН,174160.83,0.01,BY-БЕЛАРУСЬ,141052.43,0.01
29,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2016,HK-ГОНКОНГ,6868142.93,0.52,"KR-КОРЕЯ, РЕСПУБЛИКА",2564430.0,0.2,DE-ГЕРМАНИЯ,892298.74,0.07,VN-ВЬЕТНАМ,816116.76,0.06,TW-ТАЙВАНЬ КИТАЙ,791929.88,0.06
30,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2017,HK-ГОНКОНГ,8710690.7,0.48,"KR-КОРЕЯ, РЕСПУБЛИКА",2755368.0,0.15,DE-ГЕРМАНИЯ,2139189.8,0.12,VN-ВЬЕТНАМ,1433608.1,0.08,TW-ТАЙВАНЬ КИТАЙ,1165807.8,0.06
31,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2018,HK-ГОНКОНГ,5765639.09,0.36,DE-ГЕРМАНИЯ,3294062.94,0.21,TW-ТАЙВАНЬ КИТАЙ,2246241.07,0.14,VN-ВЬЕТНАМ,2119068.2,0.13,"KR-КОРЕЯ, РЕСПУБЛИКА",1533952.0,0.1
32,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2019,"KR-КОРЕЯ, РЕСПУБЛИКА",4561980.0,0.4,HK-ГОНКОНГ,2385049.73,0.21,TW-ТАЙВАНЬ КИТАЙ,1224278.81,0.11,DE-ГЕРМАНИЯ,1074081.44,0.09,VN-ВЬЕТНАМ,821327.7,0.07
33,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2020,"KR-КОРЕЯ, РЕСПУБЛИКА",4422390.0,0.49,HK-ГОНКОНГ,2159174.0,0.24,TW-ТАЙВАНЬ КИТАЙ,1106031.43,0.12,BY-БЕЛАРУСЬ,463077.01,0.05,AM-АРМЕНИЯ,226986.16,0.03
34,"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",2021,"KR-КОРЕЯ, РЕСПУБЛИКА",4263049.0,0.55,HK-ГОНКОНГ,998303.99,0.13,TW-ТАЙВАНЬ КИТАЙ,849498.0,0.11,BY-БЕЛАРУСЬ,618333.55,0.08,AM-АРМЕНИЯ,332927.81,0.04
35,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2015,KZ-КАЗАХСТАН,116220.47,0.52,BY-БЕЛАРУСЬ,108774.46,0.48,IT-ИТАЛИЯ,32.31,0.0,AB-АБХАЗИЯ,0.0,0.0,QA-КАТАР,0.0,0.0
36,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2016,KZ-КАЗАХСТАН,119137.96,0.59,BY-БЕЛАРУСЬ,78311.81,0.39,UZ-УЗБЕКИСТАН,5573.01,0.03,UA-УКРАИНА,0.0,0.0,PL-ПОЛЬША,0.0,0.0
37,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2017,KZ-КАЗАХСТАН,114437.0,0.62,BY-БЕЛАРУСЬ,44117.2,0.24,AM-АРМЕНИЯ,18914.5,0.1,UZ-УЗБЕКИСТАН,7952.9,0.04,QA-КАТАР,0.0,0.0
38,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2018,KZ-КАЗАХСТАН,94701.55,0.54,AM-АРМЕНИЯ,41174.72,0.24,BY-БЕЛАРУСЬ,31470.9,0.18,UZ-УЗБЕКИСТАН,6800.0,0.04,RS-СЕРБИЯ,115.41,0.0
39,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2019,BY-БЕЛАРУСЬ,304052.21,0.65,KZ-КАЗАХСТАН,83349.45,0.18,AM-АРМЕНИЯ,66188.39,0.14,QA-КАТАР,8420.0,0.02,LV-ЛАТВИЯ,3257.65,0.01
40,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2020,BY-БЕЛАРУСЬ,357630.47,0.64,NL-НИДЕРЛАНДЫ,97296.81,0.17,KZ-КАЗАХСТАН,67399.73,0.12,UZ-УЗБЕКИСТАН,26250.0,0.05,AM-АРМЕНИЯ,5256.71,0.01
41,"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",2021,BY-БЕЛАРУСЬ,714991.97,0.62,NL-НИДЕРЛАНДЫ,162786.44,0.14,KZ-КАЗАХСТАН,103871.67,0.09,FR-ФРАНЦИЯ,68760.32,0.06,UZ-УЗБЕКИСТАН,48250.0,0.04
42,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2015,TR-ТУРЦИЯ,17752106.06,0.38,IN-ИНДИЯ,16063562.23,0.35,LT-ЛИТВА,4829099.17,0.1,RO-РУМЫНИЯ,2251346.32,0.05,BY-БЕЛАРУСЬ,1216978.63,0.03
43,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2016,TR-ТУРЦИЯ,19009354.52,0.42,LT-ЛИТВА,4925816.93,0.11,IN-ИНДИЯ,4774191.21,0.11,AZ-АЗЕРБАЙДЖАН,4007048.28,0.09,PK-ПАКИСТАН,3873129.47,0.09
44,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2017,TR-ТУРЦИЯ,13235628.8,0.25,IN-ИНДИЯ,8224627.0,0.15,PK-ПАКИСТАН,6320169.5,0.12,AE-ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ,4516451.8,0.08,EG-ЕГИПЕТ,3151625.3,0.06
45,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2018,TR-ТУРЦИЯ,5199239.9,0.15,PK-ПАКИСТАН,5036224.67,0.15,IN-ИНДИЯ,3892792.04,0.12,LT-ЛИТВА,3493207.8,0.1,BY-БЕЛАРУСЬ,3015450.56,0.09
46,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2019,TR-ТУРЦИЯ,10613321.76,0.28,BY-БЕЛАРУСЬ,3243826.9,0.09,PK-ПАКИСТАН,3155074.12,0.08,IN-ИНДИЯ,2229216.41,0.06,LT-ЛИТВА,2131140.26,0.06
47,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2020,TR-ТУРЦИЯ,10485518.25,0.2,PK-ПАКИСТАН,7337559.58,0.14,TM-ТУРКМЕНИСТАН,6969992.08,0.13,BY-БЕЛАРУСЬ,6926059.19,0.13,NNN-НЕИЗВЕСТНАЯ СТРАНА,4677247.94,0.09
48,07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,2021,TR-ТУРЦИЯ,32476447.53,0.28,PK-ПАКИСТАН,14998453.02,0.13,BY-БЕЛАРУСЬ,14444421.62,0.13,BD-БАНГЛАДЕШ,11757041.75,0.1,IT-ИТАЛИЯ,5242195.56,0.05
49,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2015,BY-БЕЛАРУСЬ,2015569.38,0.3,CN-КИТАЙ,2013256.0,0.3,KZ-КАЗАХСТАН,984108.42,0.14,VN-ВЬЕТНАМ,431445.0,0.06,GB-СОЕДИНЕННОЕ КОРОЛЕВСТВО,375156.74,0.06
50,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2016,BY-БЕЛАРУСЬ,7862712.34,0.69,CN-КИТАЙ,1646211.77,0.14,EE-ЭСТОНИЯ,730075.03,0.06,KZ-КАЗАХСТАН,595093.8,0.05,US-СОЕДИНЕННЫЕ ШТАТЫ,251430.25,0.02
51,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2017,BY-БЕЛАРУСЬ,14180649.7,0.65,CN-КИТАЙ,3302623.2,0.15,KZ-КАЗАХСТАН,2921517.9,0.13,AZ-АЗЕРБАЙДЖАН,249908.3,0.01,DE-ГЕРМАНИЯ,246296.6,0.01
52,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2018,BY-БЕЛАРУСЬ,7397499.93,0.58,KZ-КАЗАХСТАН,3156950.77,0.25,CN-КИТАЙ,1105821.91,0.09,US-СОЕДИНЕННЫЕ ШТАТЫ,267655.35,0.02,RS-СЕРБИЯ,257650.11,0.02
53,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2019,BY-БЕЛАРУСЬ,10379168.39,0.65,KZ-КАЗАХСТАН,3018157.28,0.19,DE-ГЕРМАНИЯ,737768.55,0.05,KG-КЫРГЫЗСТАН,604436.25,0.04,CN-КИТАЙ,548447.01,0.03
54,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2020,CZ-ЧЕХИЯ,2795170.03,0.32,KZ-КАЗАХСТАН,1846413.25,0.21,DE-ГЕРМАНИЯ,1829495.7,0.21,BY-БЕЛАРУСЬ,1136097.96,0.13,PL-ПОЛЬША,254264.87,0.03
55,08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,2021,CZ-ЧЕХИЯ,9222888.2,0.48,KZ-КАЗАХСТАН,2522412.26,0.13,BY-БЕЛАРУСЬ,2368106.5,0.12,DE-ГЕРМАНИЯ,1515561.59,0.08,MN-МОНГОЛИЯ,1246164.2,0.06
56,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2015,BY-БЕЛАРУСЬ,5678438.94,0.36,UA-УКРАИНА,2923104.79,0.19,IN-ИНДИЯ,1239753.46,0.08,KZ-КАЗАХСТАН,1084712.96,0.07,AZ-АЗЕРБАЙДЖАН,567532.53,0.04
57,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2016,BY-БЕЛАРУСЬ,7514375.95,0.32,KZ-КАЗАХСТАН,4664610.1,0.2,IN-ИНДИЯ,1941481.97,0.08,ID-ИНДОНЕЗИЯ,1637391.97,0.07,"MD-МОЛДОВА, РЕСПУБЛИКА",1383471.81,0.06
58,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2017,BY-БЕЛАРУСЬ,11053356.6,0.39,KZ-КАЗАХСТАН,4650293.5,0.16,IL-ИЗРАИЛЬ,3203405.9,0.11,IN-ИНДИЯ,1670397.4,0.06,UA-УКРАИНА,1238618.6,0.04
59,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2018,BY-БЕЛАРУСЬ,8526666.84,0.25,KZ-КАЗАХСТАН,5805553.01,0.17,QA-КАТАР,3699845.79,0.11,IL-ИЗРАИЛЬ,2426793.07,0.07,ML-МАЛИ,2055913.65,0.06
60,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2019,BY-БЕЛАРУСЬ,7846579.44,0.26,KZ-КАЗАХСТАН,5106280.05,0.17,QA-КАТАР,3416737.36,0.11,IL-ИЗРАИЛЬ,2639463.88,0.09,IN-ИНДИЯ,1460407.41,0.05
61,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2020,BY-БЕЛАРУСЬ,9913791.01,0.3,KZ-КАЗАХСТАН,5064328.01,0.15,QA-КАТАР,2831387.31,0.09,IL-ИЗРАИЛЬ,2312569.23,0.07,UA-УКРАИНА,1660538.73,0.05
62,"09-Кофе, чай, мате, или парагвайский чай, и пряности",2021,BY-БЕЛАРУСЬ,12896981.57,0.31,KZ-КАЗАХСТАН,6827706.04,0.16,ID-ИНДОНЕЗИЯ,2963988.91,0.07,QA-КАТАР,2728280.85,0.07,IL-ИЗРАИЛЬ,2054416.06,0.05
63,10-Злаки,2015,EG-ЕГИПЕТ,330201146.23,0.19,SA-САУДОВСКАЯ АРАВИЯ,212778300.4,0.12,TR-ТУРЦИЯ,194059717.83,0.11,NG-НИГЕРИЯ,100585956.96,0.06,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,88289477.38,0.05
64,10-Злаки,2016,EG-ЕГИПЕТ,248121394.17,0.17,NG-НИГЕРИЯ,119448798.05,0.08,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,107984777.89,0.08,TR-ТУРЦИЯ,99789153.51,0.07,ZA-ЮЖНАЯ АФРИКА,74906215.74,0.05
65,10-Злаки,2017,EG-ЕГИПЕТ,349344250.2,0.18,SD-СУДАН,161505094.0,0.08,NG-НИГЕРИЯ,122436959.7,0.06,TR-ТУРЦИЯ,96617015.4,0.05,"KR-КОРЕЯ, РЕСПУБЛИКА",90240035.0,0.05
66,10-Злаки,2018,TR-ТУРЦИЯ,217708851.85,0.1,SD-СУДАН,215688306.1,0.1,EG-ЕГИПЕТ,204107500.0,0.09,SA-САУДОВСКАЯ АРАВИЯ,185631341.0,0.08,NG-НИГЕРИЯ,154065040.3,0.07
67,10-Злаки,2019,TR-ТУРЦИЯ,305865576.98,0.19,EG-ЕГИПЕТ,149661766.2,0.09,SA-САУДОВСКАЯ АРАВИЯ,110526622.1,0.07,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,109635092.0,0.07,NG-НИГЕРИЯ,66264883.71,0.04
68,10-Злаки,2020,EG-ЕГИПЕТ,364907519.8,0.16,TR-ТУРЦИЯ,331104066.86,0.14,NNN-НЕИЗВЕСТНАЯ СТРАНА,273003088.7,0.12,SA-САУДОВСКАЯ АРАВИЯ,225979823.61,0.1,NG-НИГЕРИЯ,101304294.7,0.04
69,10-Злаки,2021,NNN-НЕИЗВЕСТНАЯ СТРАНА,606379411.15,0.3,TR-ТУРЦИЯ,408637845.48,0.2,SA-САУДОВСКАЯ АРАВИЯ,206402991.2,0.1,EG-ЕГИПЕТ,189116468.81,0.09,"KR-КОРЕЯ, РЕСПУБЛИКА",104959346.63,0.05
70,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2015,NL-НИДЕРЛАНДЫ,3651678.36,0.15,TW-ТАЙВАНЬ КИТАЙ,3104729.26,0.13,SY-СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА,2885766.84,0.12,US-СОЕДИНЕННЫЕ ШТАТЫ,2218017.02,0.09,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",2133054.0,0.09
71,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2016,US-СОЕДИНЕННЫЕ ШТАТЫ,5510385.52,0.27,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",2996781.73,0.15,TW-ТАЙВАНЬ КИТАЙ,2876249.18,0.14,KG-КЫРГЫЗСТАН,2449731.93,0.12,"PS-ПАЛЕСТИНА, ГОСУДАРСТВО",966737.95,0.05
72,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2017,US-СОЕДИНЕННЫЕ ШТАТЫ,8608398.1,0.3,KG-КЫРГЫЗСТАН,4339136.8,0.15,BY-БЕЛАРУСЬ,3463478.6,0.12,KZ-КАЗАХСТАН,2731622.5,0.1,UA-УКРАИНА,1849100.8,0.07
73,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2018,US-СОЕДИНЕННЫЕ ШТАТЫ,8690303.03,0.34,KG-КЫРГЫЗСТАН,4896983.62,0.19,CN-КИТАЙ,1800259.43,0.07,BY-БЕЛАРУСЬ,1799661.77,0.07,GE-ГРУЗИЯ,1321598.15,0.05
74,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2019,US-СОЕДИНЕННЫЕ ШТАТЫ,12119611.65,0.29,KG-КЫРГЫЗСТАН,6189877.27,0.15,CN-КИТАЙ,3807337.73,0.09,BY-БЕЛАРУСЬ,2817728.68,0.07,TR-ТУРЦИЯ,2326991.0,0.06
75,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2020,US-СОЕДИНЕННЫЕ ШТАТЫ,10513044.34,0.28,TR-ТУРЦИЯ,5543747.94,0.15,UZ-УЗБЕКИСТАН,2780290.99,0.07,KG-КЫРГЫЗСТАН,2509388.88,0.07,BY-БЕЛАРУСЬ,2498414.33,0.07
76,11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,2021,US-СОЕДИНЕННЫЕ ШТАТЫ,10225798.52,0.22,TR-ТУРЦИЯ,4856913.49,0.1,GE-ГРУЗИЯ,4705720.09,0.1,UZ-УЗБЕКИСТАН,3417990.74,0.07,KG-КЫРГЫЗСТАН,2828029.33,0.06
77,"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",2015,IT-ИТАЛИЯ,1662158.44,0.21,BE-БЕЛЬГИЯ,1263662.05,0.16,BY-БЕЛАРУСЬ,1021529.66,0.13,KZ-КАЗАХСТАН,721998.62,0.09,PL-ПОЛЬША,482797.98,0.06
78,"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",2016,TR-ТУРЦИЯ,2531352.99,0.22,PL-ПОЛЬША,1508968.7,0.13,BY-БЕЛАРУСЬ,1202579.9,0.1,BD-БАНГЛАДЕШ,812481.08,0.07,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,767009.85,0.07
79,"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",2017,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,2722224.9,0.13,BE-БЕЛЬГИЯ,2598767.4,0.12,TR-ТУРЦИЯ,2572420.8,0.12,CN-КИТАЙ,2305454.1,0.11,PL-ПОЛЬША,1751351.4,0.08
80,"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",2018,TR-ТУРЦИЯ,3832595.42,0.21,BY-БЕЛАРУСЬ,2469791.19,0.13,KZ-КАЗАХСТАН,1656689.66,0.09,CN-КИТАЙ,1317510.96,0.07,PL-ПОЛЬША,1038824.16,0.06
81,"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",2019,TR-ТУРЦИЯ,41565675.44,0.7,KZ-КАЗАХСТАН,3659986.32,0.06,BE-БЕЛЬГИЯ,2164043.44,0.04,BY-БЕЛАРУСЬ,1956987.6,0.03,GE-ГРУЗИЯ,1854078.49,0.03
