tn_ved,country,country_sum_2022,period,country_sum_2021
"1604139000-Готовые продукты и консервы из сардинелл, кильки и шпрот целиком или в кусках, но не фаршированные",KZ-КАЗАХСТАН,993984.0,2022,1366464.91
"1604141800-Прочая готовая или консервированная продукция из тунца и скипджека, целиком или в кусках, но не фаршированная",AB-АБХАЗИЯ,93376.0,2022,0.0
"1604144800-Прочий тунец, скипджек, или тунец полосатый, и пеламида (sarda spp.)",BY-БЕЛАРУСЬ,134272.0,2022,78801.51
"1604151100-Готовая или консервированная продукция из филе скумбрии вида scomber scombrus и scomber japonicus целиком или в кусках, но не фаршированная",KZ-КАЗАХСТАН,440192.0,2022,5447.21
"1604151900-Прочая готовая или консервированна продукция из скумбрии вида scomber scomberus и somber japonicus целиком или в кусках, но не фаршированная",UA-УКРАИНА,182144.0,2022,158747.71
"1604159000-Готовые продукты и консервы из скумбрии вида scomber australasicus целиком или в кусках, кроме фаршированной",BY-БЕЛАРУСЬ,129856.0,2022,3536.27
"1604160000-Готовые продукты и консервы из анчоусов целиком или в кусках, но не фаршированных",BY-БЕЛАРУСЬ,128512.0,2022,36981.31
"1604191000-Готовые продукты и консервы из лососевых рыб, кроме лосося, целиком или в кусках, но не фаршированные",KZ-КАЗАХСТАН,275456.0,2022,70356.71
"1604199200-Готовая или консервированная продукция из трески (gadus morhua, gadus ogac, gadus macrocephalus), целиком или в кусках, но не фаршированная",KZ-КАЗАХСТАН,387328.0,2022,101464.99
"1604199780-Прочая рыба целиком или в кусках, но нефаршированная",BY-БЕЛАРУСЬ,210752.0,2022,137895.28
"1604199790-Прочая, рыба прочая, целиком или в кусках, но нефаршированная",AB-АБХАЗИЯ,252672.0,2022,0.0
1604200500-Готовые или консервированные продукты из сурими,UA-УКРАИНА,95488.0,2022,254358.96
1604201000-Готовые изделия и консервы из лосося,BY-БЕЛАРУСЬ,166272.0,2022,17719.32
"1604203000-Готовая или консервированная продукция из лососевых, кроме лосося",KZ-КАЗАХСТАН,272704.0,2022,53823.44
"1604205000-Прочая готовая или консервированная продукция из скумбрий видов scomber scombrus, scomber japonicus, рыбы вида orcynopsis unicolor, а также из сардин и пиламиды",VN-ВЬЕТНАМ,134400.0,2022,122562.15
"1604207000-Готовая или консервированная продукция из тунца, скипджека или другой рыбы рода euthynnus",KZ-КАЗАХСТАН,332672.0,2022,161986.74
1604209090-Готовая или консервированная продукция из прочей рыбы,KZ-КАЗАХСТАН,492480.0,2022,862715.2
1604320010-Заменители икры осетровых: икра лососевых (красная икра),BY-БЕЛАРУСЬ,795648.0,2022,1366216.72
1604320090-Прочие заменители икры осетровых,BY-БЕЛАРУСЬ,190656.0,2022,811832.45
"1605290000-Прочие креветки и пильчатые креветки, готовые или консервированные",KZ-КАЗАХСТАН,388992.0,2022,459614.18
"1605400009-Готовые или консервированные прочие ракообразные, прочие",US-СОЕДИНЕННЫЕ ШТАТЫ,88192.0,2022,42389.4
1605531000-Мидии в герметичных упаковках,UA-УКРАИНА,30272.0,2022,232960.88
1605540000-Каракатицы и кальмары готовые или консервированные,BY-БЕЛАРУСЬ,79232.0,2022,44001.72
1605550000-Осьминоги готовые или консервированные,US-СОЕДИНЕННЫЕ ШТАТЫ,74432.0,2022,6854.04
"1602100090-Прочие гомогенизированные готовые продукты питания из мяса, мясных субпродуктов или крови",BY-БЕЛАРУСЬ,67520.0,2022,43708.09
1604310000-Икра осетровых,NNN-НЕИЗВЕСТНАЯ СТРАНА,181312.0,2022,201600.61
1605100000-Готовые или консервированные крабы,US-СОЕДИНЕННЫЕ ШТАТЫ,151680.0,2022,96794.62
1605590000-Прочие моллюски готовые или консервированные,KZ-КАЗАХСТАН,308288.0,2022,76886.91
"1605690000-Прочие водные беспозвоночные, готовые или консервированные",US-СОЕДИНЕННЫЕ ШТАТЫ,77696.0,2022,39858.16
"1602311100-Готовые или консервированные продукты из мяса индейки товарной позиции 0105, содержащие 57 мас. % или более мяса или субпродуктов",KG-КЫРГЫЗСТАН,0.0,2022,6190.34
"1602313000-Готовые изделия и консервы из мяса индейки, содержащие 25 мас.% или более, но менее 57 мас.% мяса домашней птицы или субпродуктов",AM-АРМЕНИЯ,85056.0,2022,0.0
1602319000-Прочие готовые изделия и консервы из мяса индейки,AM-АРМЕНИЯ,48640.0,2022,0.0
"1602392100-Прочие готовые или консервированные продукты из домашней птицы, товарной позиции 0105, содержащие 57 мас.% или более сырого мяса домашней птицы или субпродуктов",KZ-КАЗАХСТАН,434240.0,2022,5907.81
1602419000-Прочие готовые изделия и консервы из окороков и их отрубов домашней свиньи,AZ-АЗЕРБАЙДЖАН,0.0,2022,17591.36
1602429000-Прочие готовые изделия и консервы из лопаточной части и ее отруба домашней свиньи,BY-БЕЛАРУСЬ,39168.0,2022,23.66
1602903100-Прочие готовые и консервированные продукты из крови дичи или кролика,KZ-КАЗАХСТАН,243136.0,2022,2620.07
"1603001000-Экстракты и соки из мяса, рыбы, ракообразных, моллюсков или прочих водных беспозвоночных в первичных упаковках нетто-массой 1 кг и менее",BY-БЕЛАРУСЬ,40832.0,2022,5177.16
"1604121000-Готовые продукты или консервы из филе сельди: сырого, в тесте или панировке, предварительно обжаренного или не обжаренного в масле, глубоко замороженного, но не фаршированного",KZ-КАЗАХСТАН,244480.0,2022,1374.07
